id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del,sobrecosto_pesos,ratio_sobrecosto,tiene_sobrecosto,duracion_dias_prevista
CO1.BDOS.10090460,PN ESSUM SA MC 029 2026_5 (Presentación de oferta),ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,624723361.0,308381400.0,8,45,día(s),,-316341961.0,-0.5063712688663167,0,45.0
CO1.BDOS.10074073,SA-MC-005-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE SUESCA +,Cundinamarca,Suesca,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,220000000.0,206800206.0,3,2,Mes(es),,-13199794.0,-0.059999063636363634,0,60.0
CO1.BDOS.10124875,SAMC-005-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA DE SESQUILE,Cundinamarca,Sesquilé,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,98631116.0,93437448.0,6,120,día(s),,-5193668.0,-0.052657500093581014,0,120.0
CO1.BDOS.10163521,CQ-SAMC-010-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE CAQUEZA,Cundinamarca,Caqueza,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000.0,99999993.0,2,1,Mes(es),,-7.0,-7e-08,0,30.0
CO1.BDOS.10128723,SAMC.OP.002-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LA CALERA CUNDINAMARCA,Cundinamarca,La Calera,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,350000000.0,331556511.0,5,30,día(s),,-18443489.0,-0.05269568285714286,0,30.0
CO1.BDOS.10158964,SAMC-002-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LENGUAZAQUE,Cundinamarca,Lenguazaque,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,200000000.0,200000000.0,1,2,Mes(es),,0.0,0.0,0,60.0
CO1.BDOS.10156720,MSIL-SAMC-012-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE SILVANIA,Cundinamarca,Silvania,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,247085339.0,247082233.0,1,4,Mes(es),,-3106.0,-1.2570555633007428e-05,0,120.0
CO1.BDOS.10126131,PSACC-003-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO CARMEN DE CARUPA,Cundinamarca,No Definido,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,200000000.0,200000000.0,2,0,día(s),,0.0,0.0,0,0.0
CO1.BDOS.10117016,PN ESSUM SA MC. 026 2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,2882230492.0,2777597674.0,4,6,Mes(es),,-104632818.0,-0.03630272398075789,0,180.0
CO1.BDOS.10154912,SAMC 039-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE ANAPOIMA/,Cundinamarca,No Definido,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,153646036.0,153640325.0,3,2,Mes(es),,-5711.0,-3.716984927616356e-05,0,60.0
