id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del
CO1.BDOS.10090460,PN ESSUM SA MC 029 2026_5 (Presentación de oferta),ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,624723361,308381400,8,45,día(s),
CO1.BDOS.10074073,SA-MC-005-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE SUESCA +,Cundinamarca,Suesca,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,220000000,206800206,3,2,Mes(es),
CO1.BDOS.10124875,SAMC-005-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA DE SESQUILE,Cundinamarca,Sesquilé,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,98631116,93437448,6,120,día(s),
CO1.BDOS.10163521,CQ-SAMC-010-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE CAQUEZA,Cundinamarca,Caqueza,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,99999993,2,1,Mes(es),
CO1.BDOS.10128723,SAMC.OP.002-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LA CALERA CUNDINAMARCA,Cundinamarca,La Calera,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,350000000,331556511,5,30,día(s),
CO1.BDOS.10158964,SAMC-002-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LENGUAZAQUE,Cundinamarca,Lenguazaque,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,200000000,200000000,1,2,Mes(es),
CO1.BDOS.10156720,MSIL-SAMC-012-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE SILVANIA,Cundinamarca,Silvania,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,247085339,247082233,1,4,Mes(es),
CO1.BDOS.10126131,PSACC-003-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO CARMEN DE CARUPA,Cundinamarca,No Definido,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,200000000,200000000,2,0,día(s),
CO1.BDOS.10117016,PN ESSUM SA MC. 026 2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,2882230492,2777597674,4,6,Mes(es),
CO1.BDOS.10154912,SAMC 039-2026 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE ANAPOIMA/,Cundinamarca,No Definido,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,153646036,153640325,3,2,Mes(es),
